Firm CRD,Investments - CD,Investments - Closed-End Funds,Investments - Commercial Paper,Investments - Corporate Debt,Investments - Equities Exchange,Investments - Equities Foreign,Investments - Equities Otc,Investments - ETFs,Investments - ETNs,Investments - Futures Intangibles,Investments - Futures Tangibles,Investments - Hedge Funds,Investments - Money Markets,Investments - Municipal Securities,Investments - Mutual Funds,Investments - Oil and Gas Partnerships,Investments - Options Commodities,Investments - Options Securities,Investments - Private Equity Funds,Investments - Private Placements,Investments - Real Estate Partnerships,Investments - REITs,Investments - UITs,Investments - US Government Securities,Investments - Variable Annuities,Investments - Variable Life,Investments - Venture Capital Funds,Investments - Warrants,Investments - Other Partnerships,Investment Strategies - Active,Investment Strategies - Alternative Investing,Investment Strategies - Builds Portfolios Of ETFS ETNS,Investment Strategies - Builds Portfolios Of Mutual Funds,Investment Strategies - ESG Impact Investing,Investment Strategies - Focus Cash Management,Investment Strategies - Focus Equities Domestic,Investment Strategies - Focus Equities International,Investment Strategies - Focus Fixed Income Taxable,Investment Strategies - Focus Fixed Income Tax Free,Investment Strategies - Long Term Buy,Investment Strategies - Margin Transactions,Investment Strategies - Option Writing,Investment Strategies - Passive,Investment Strategies - Primarily Recommends Particular Type Of Security,Investment Strategies - Proprietary Model For Security Selection,Investment Strategies - Selects Separate Account Managers,Investment Strategies - Short Sales,Investment Strategies - Short Term Buy,Investment Strategies - Socially Responsible Investing,Investment Strategies - Style Growth,Investment Strategies - Style Value,Investment Strategies - Trading,Investment Strategies - Other,Methods of Analysis - Charting,Methods of Analysis - Cyclical,Methods of Analysis - Fundamental,Methods of Analysis - Technical,Methods of Analysis - Other,Research Methods - Company Press Releases,Research Methods - Corporate Rating Services,Research Methods - Financial Publications,Research Methods - Inspection Of Corporate Records,Research Methods - SEC Filings,Research Methods - Third Party Research,Research Methods - Timing Services,Research Methods - Other Information Sources,7B Private Fund Reporting - Yes or No
330280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
330347,Yes,Yes,,,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,,,,,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326730,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,Yes,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
329384,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,,,,,,,,,
329948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
330078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,Yes,,,
328905,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,Yes,,Yes,
329603,,Yes,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,,,,,,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,,,,
329777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,
330030,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,Yes,
330058,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
330286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,,
328693,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,,,Yes,,,,,,Yes,,,,,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,
328802,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,Yes,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
329195,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
329446,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,
329568,,,,,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,Yes,Yes,,Yes,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,Yes
329638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
329906,,,,,Yes,Yes,,Yes,,,,Yes,,,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
329965,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
330198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
328793,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,Yes,,,,,,,,,,,
329375,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,,Yes,,,Yes,,,,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,
329417,Yes,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,Yes,,,
329530,,,,,Yes,,,Yes,,,,,,,Yes,,Yes,Yes,,Yes,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,
330009,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,Yes,,Yes,,,Yes,,Yes,,,Yes,,Yes,,,Yes,
330019,,,,,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,,
330461,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,,,,Yes,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328621,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,Yes,,,,Yes,,,,,Yes,Yes,,,,,,,Yes,,,
329589,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
329595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,Yes,,,,,,,,,
329720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,
329830,,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,,,,,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
329954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,
330292,,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
329268,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,Yes,,,,Yes,,,,,,Yes,Yes,,Yes,,,,,Yes,,,,,,,,,
329683,,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
329884,,,,,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,
330193,,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
328264,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,
328343,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,
329634,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,,Yes,,,Yes,,,,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,
329966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,Yes,Yes,,,
330412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,
327439,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,,,,,Yes,
328087,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,Yes
328729,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,Yes,,,,,Yes,,,,,,,,Yes,
329188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,,,,,,,Yes,,,,,Yes,,,,Yes,,,,,,,,,,
330066,,,,,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
330108,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,,,Yes,,,Yes,Yes,,,,,Yes,,,,,Yes,,,,,,,,,
327633,,,,Yes,,,,Yes,,,,,,Yes,Yes,,,,Yes,,,,,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,,,,,
328387,,,,Yes,Yes,Yes,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,,
329204,Yes,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,
329239,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,,Yes,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,
329297,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,Yes,Yes,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,
329514,,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
329831,,,,,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
330067,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,Yes,,,Yes,,Yes,,,Yes,,,,,,,,,,,
330080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
330110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,Yes,,,,,,,,Yes,,,,,,Yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293250,,,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,
306781,,,,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,Yes,,,Yes,,,,,Yes,,,,Yes,,,,,,,,Yes,,,
327451,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,Yes,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
328501,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,
328578,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
328742,Yes,,,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,,Yes,Yes,,,,,,Yes,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,
329073,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,,,,,,,,Yes,
329414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,Yes,,,Yes,,Yes,,,Yes,
329853,,,,Yes,Yes,,Yes,,,Yes,,,Yes,,,,,,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
329863,,,,Yes,Yes,,Yes,,,Yes,,,Yes,,,,,,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
329865,,,,Yes,Yes,,Yes,,,Yes,,,Yes,,,,,,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
330068,,,,Yes,Yes,,Yes,,,Yes,,,Yes,,,,,,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
328465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,
329381,,,,,Yes,Yes,,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
329696,,,,,Yes,,,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,,Yes,,,,,Yes,,,,Yes,,,,,,Yes,,Yes,,,,,,,,,,Yes,,,,,,,,,Yes
329774,,,,Yes,Yes,Yes,,,,,,,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
329866,,,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,Yes,
329881,,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,,,Yes,,Yes,,,Yes,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,
329512,,,,Yes,Yes,,,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,,Yes,,,,,,,,,
329988,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,Yes,
330057,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,
329463,Yes,,,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,,,
329828,,,,,Yes,,,Yes,,,,,,,Yes,,Yes,,Yes,,,Yes,,Yes,,,Yes,,,,,Yes,Yes,,,,,Yes,,Yes,,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
330051,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,,,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
330259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,Yes,,Yes,Yes,,Yes,
321148,,,,Yes,Yes,,,Yes,,,,,,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,Yes,
327588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328273,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,
328444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328785,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes
329042,,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,
329654,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,
329688,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
329711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
329808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,,,,Yes,,,
330269,,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,,,,Yes,,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329342,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,
329515,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,,,Yes,,Yes,,Yes,Yes,,,,Yes,,,Yes,,,Yes,,,,Yes,,,,,Yes,,,,,,,,Yes,
329624,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
329639,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
329837,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,
329888,,,,Yes,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
330282,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,,,Yes,,,,,,,,,,Yes,
328774,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
329245,,,,Yes,Yes,Yes,,yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,
329274,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,
329756,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,
328098,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
